key,user_id,user_name,user_handle,x_coordinate,y_coordinate,political party,year,country,twitter_active_during_year
2008,null,Duncan Hunter,null,7,6,Republican,2008,USA,FALSE
12008,null,John Edwards,null,2,1,Democratic,2008,USA,FALSE
12012,null,Stewart Alexander,null,-5,-1,Socialist,2012,USA,FALSE
22012,null,Rockey Anderson,null,4,-2,Justice,2012,USA,FALSE
22008,null,Stephane Dion,null,2,3,Liberal,2008,CA,FALSE
32008,null,Gilles Duceppe,null,-1,-1,Bloc Quebecios,2008,CA,FALSE
12013,null,Angela Merkel,null,7,6,CDU/SCU,2013,DE,FALSE
22013,null,Rainer Bruderle,null,8,-1,FDP,2013,DE,FALSE
12010,null,Tony Crook,null,5,6,WA Nationals,2010,AUS,FALSE
12011,null,Tariana Turia,null,-1,0,Maori Party,2011,NZ,FALSE
12017,null,Marama Fox,null,-1,0,Maori Party,2017,NZ,FALSE