key,id,politician,handle
1,813286,Barack Obama,BarackObama
2,939091,Joe Biden,JoeBiden
3,15022633,Dennis Kucinich,Dennis_Kucinich
4,31428685,Bill Richardson,GovRichardson
5,15416505,Mike Huckabee,GovMikeHuckabee
6,1339835893,Hillary Clinton,HillaryClinton
7,287413569,Ron Paul,RonPaul
8,19394188,John McCain,SenJohnMcCain
9,20713061,Newt Gingrich,newtgingrich
10,752638969095999489,Mike Gravel,MikeGravel_US
11,19637821,Alan Keyes,loyaltoliberty
12,50055701,Mitt Romney,MittRomney
13,2704951,Fred Thompson,fredthompson
14,16317406,Chris Dodd,SenChrisDodd
15,770781940341288960,Rudy Guiliani,RudyGiuliani
16,77314692,Ralph Nader,RalphNader
17,64534908,Tom Tancredo,ttancredo
18,111216929,Jill Stein,DrJillStein
19,605641396,Virgil Goode,VirgilGoode
20,95713333,Gary Johnson,GovGaryJohnson
21,58379000,Rick Santorum,RickSantorum
22,1339835893,Hllary Clinton,HillaryClinton
23,29442313,Bernie Sanders,SenSanders
24,25073877,Donald Trump,realDonaldTrump
25,113047940,Jeb Bush,JebBush
26,23022687,Ted Cruz,TedCruz
27,15745368,Marco Rubio,MarcoRubio
28,18020081,John Kasich,JohnKasich
29,73303753,Bob Corker,SenBobCorker
30,22203756,Mike Pence,Mike_Pence
31,2987671552,Larry Hogan,GovLarryHogan
32,342863309,Robert O'Rourke,BetoORourke
33,22044727,Amy Klobuchar,SenAmyKlobuchar
34,224285242,Michael Bennet,SenatorBennet
35,111721601,Steve Bollock,GovernorBullock
36,248495200,Seth Moulton,sethmoulton
37,16581604,Mike Bloomberg,MikeBloomberg
38,2695663285,Julian Castro,SecretaryCastro
39,72198806,Kirsten Gillibrand,SenGillibrand
40,30354991,Kamala Harris,KamalaHarris
41,426028646,John Delaney,JohnDelaney
42,1318728336923787264,John Hickenlooper,SenatorHick
43,2167097881,Cory Booker,SenBooker
44,734783792502575105,Bill Weld,GovBillWeld
45,226222147,Pete Buttigieg,PeteButtigieg
46,970207298,Elizabeth Warren,SenWarren
47,46764631,Joe Sestak,JoeSestak
48,1077214808,Jay Inslee,GovInslee
49,2228878592,Andrew Yang,AndrewYang
50,1176367702543413248,Jo Jorgensen,JoForLiberty
51,21522338,Marianne Williamson,marwilliamson
52,949934436,Tom Steyer,TomSteyer
53,26637348,Tulsi Gabbard,TulsiGabbard
54,142234626,Howie Hawkins,HowieHawkins
55,7401202,Stephen Harper,StephenHarper
56,16220555,Elizabeth May,ElizabethMay
57,15526563,Jack Layton,jacklayton
58,17289530,Michael Ignatieff,M_Ignatieff
59,14260960,Justin Trudeau,JustinTrudeau
60,363997684,Tom Mulcair,ThomasMulcair
61,256360738,Andrew Scheer,AndrewScheer
62,253340075,Jagemeet Singh,theJagmeetSingh
63,38262290,Yves-Francois Blanchet,yfblanchet
64,2791988124,Maxime Bernier,MaximeBernier
65,296553576,Erin O'Toole,erinotoole
66,1156560530594832390,Annamie Paul,AnnamiePaul
67,103065157,David Cameron,David_Cameron
68,532247573,Gordon Brown,GordonBrown
69,15010349,Nick Clegg,nickclegg
70,61781260,Ed Miliband,Ed_Miliband
71,160952087,Nicola Sturgeon,NicolaSturgeon
72,747807250819981312,Theresa May,theresa_may
73,117777690,Jeremy Corbyn,jeremycorbyn
74,80021045,Tim Farron,timfarron
75,275799277,Arlene Foster,ArleneFosterUK
76,3131144855,Boris Johnson,BorisJohnson
77,14933304,Jo Swinson,joswinson
78,2890801661,Douglass Ross,Douglas4Moray
79,201226827,Anas Sarwar,AnasSarwar
80,3198001863,Lorna Slater,lornaslater
81,21125405,Patrick Harvie,patrickharvie
82,52002602,Willie Rennie,willie_rennie
83,114007914,Michael Martin,MichealMartinTD
84,148872468,Mary Lou McDonald,MaryLouMcDonald
85,229466877,Leo Varadkar,LeoVaradkar
86,22005625,Eamon Ryan,EamonRyan
87,4205955087,Brendan Howlin,BrendanHowlin
88,190987689,Catherine Murphy,CathMurphyTD
89,78026748,Roisin Shortall,RoisinShortall
90,856641566,Peer Steinbruck,peersteinbrueck
91,888289790,Gregor Gysi,GregorGysi
92,485751594,Jurgen Trittin,JTrittin
93,626287930,Katrin Goring-Eckardt,GoeringEckardt
94,17675072,Martin Schulz,MartinSchulz
95,914612826928504832,Alexander Gauland,AG_AfD
96,833398209053605888,Alice Weidel,Alice_Weidel
97,122104353,Christian Lindner,c_lindner
98,2320519958,Dietmar Bartsch,DietmarBartsch
99,47375691,Sahra Wagenknecht,SWagenknecht
100,19108766,Cem Ozdemir,cem_oezdemir
101,38150247,Olaf Scholz,OlafScholz
102,835541664,Armin Laschet,ArminLaschet
103,1469264387512979461,Annalena Baerbock,ABaerbock
104,122104353,Christian Linder,c_lindner
105,797137333820784640,Tino Chrupalla,Tino_Chrupalla
106,143484553,Janine Wissler,Janine_Wissler
107,1976143068,Emmanuel Macron,EmmanuelMacron
108,217749896,Marie Le Pen,MLP_officiel
109,80820758,Jean-Luc Melenchon,JLMelenchon
110,14389177,Benoit Hamon,benoithamon
111,551669623,Francois Fillon,FrancoisFillon
112,26073581,Anne Hildago,Anne_Hidalgo
113,1183418538285027329,Eric Zemmour,ZemmourEric
114,49969223,Valerie Pecresse,vpecresse
115,117761523,Yannick Jadot,yjadot
116,1324449588,Fabien Roussel,Fabien_Roussel
117,85436197,Julia Gillard,JuliaGillard
118,93766096,Tony Abbot,HonTonyAbbott
119,333880204,Bob Brown,DrBobBrown
120,16832632,Kevin Rudd,MrKRudd
121,43792125,Chrstine Milne,ChristineMilne
122,310726037,Bob Katter,RealBobKatter
123,16734909,Malcolm Turnbull,TurnbullMalcolm
124,137198586,Bill Shorten,billshortenmp
125,37611292,Richard Di Natale,RichardDiNatale
126,34116377,Scott Morrison,ScoMo30
127,4253031505,Rebekha Sharkie,MakeMayoMatter
128,254515782,Anthony Albanese,AlboMP
129,25960714,Adam Bandt,AdamBandt
130,128372940,Jair Bolsanaro,jairbolsonaro
131,2670726740,Lula da Silva,LulaOficial
132,17380167,John Key,RtHon_JohnKey
133,18149977,Phil Goff,phil_goff
134,28008289,Russel Norman,RusselNorman
135,355605318,Metiria Turei,MetiriaTureiMP
136,1155112831,Pita Sharples,papapita
137,606709337,Hone Harawire,MPHoneHarawira
138,886526217091923968,Don Brash,DonBrashNZ
139,243916139,Peter Dunne,honpeterdunne
140,16220863,David Cunliffe,davidcunliffe
141,346944092,Winston Peters,winstonpeters
142,262909861,Te Ururoa Flavell,TeUruroaFlavell
143,1019934826579791872,Jamie Whyte,_JamieWhyte
144,1277147870,Laila Harre,lailaharre
145,31634233,Bill English,RtHonBEnglish
146,22959763,Jacinda Ardern,jacindaardern
147,31583101,James Shaw,jamespeshaw
148,23352383,David Seymour,dbseymour
149,756227808,Judith Collins,JudithCollinsMP
150,147406561,Marama Davidson,MaramaDavidson
151,69209529,John Tamihere,john_tamihere
152,1613567335,Debbie Ngarewa-Packer,whaeadeb
153,1180976032658014209,Christopher Luxon,chrisluxonmp
154,25754056,Chris Hipkins,chrishipkins
2008,N/A,Duncan Hunter,N/A
12008,N/A,John Edwards,N/A
12010,N/A,Tony Crook,N/A
12011,N/A,Tariana Turia,N/A
12012,N/A,Stewart Alexander,N/A
12013,N/A,Angela Merkel,N/A
12017,N/A,Marama Fox,N/A
22008,N/A,Stephane Dion,N/A
22012,N/A,Rockey Anderson,N/A
22013,N/A,Rainer Bruderle,N/A
32008,N/A,Gilles Duceppe,N/A